1,Alabama,
2,Alaska,
3,Alberta,
4,Arizona,
5,Arkansas,
6,British Columbia,
7,California,
8,Colorado,
9,Connecticut,
10,Delaware,
11,District Of Columbia,
12,Florida,
13,Georgia,
14,Hawaii,
15,Idaho,
16,Illinois,
17,Indiana,
18,Iowa,
19,Kansas,
20,Kentucky,
21,Louisiana,
22,Maine,
23,Manitoba,
24,Maryland,
25,Massachusetts,
26,Michigan,
27,Minnesota,
28,Mississippi,
29,Missouri,
30,Montana,
31,Nebraska,
32,Nevada,
33,New Brunswick,
34,New Hampshire,
35,New Jersey,
36,New Mexico,
37,New York,
38,Newfoundland,
39,North Carolina,
40,North Dakota,
41,Northwest Territories,
42,Nova Scotia,
43,Nunavut,
44,Ohio,
45,Oklahoma,
46,Ontario,
47,Oregon,
48,Palau,
49,Pennsylvania,
50,Prince Edward Island,
51,Puerto Rico,
52,Quebec,
53,Rhode Island,
54,Saskatchewan,
55,South Carolina,
56,South Dakota,
57,Tennessee,
58,Texas,
59,Utah,
60,Vermont,
61,Virginia,
62,Washington,
63,West Virginia,
64,Wisconsin,
65,Wyoming,
66,Yukon,
